s.no,Institute,Subject,Location,Trainer_Qualification,Online_classes,Offline_classes,Course_level,Placements,Certificate,Trainer_experiance,Course_hours,Course_rating,Rental_permises,Trainer_slary,Maintaince_cost,Non_teaching_staff_salary,Price
226,Simple_learn,DataScience,Delhi,UnderGraduate,no,Yes,beginer,No,Yes,8,101,2,68,448,70,117,768
227,Guvi,ProjectManagement,Delhi,Doctorate,no,no,advanced,Yes,Yes,13,139,3,89,569,90,158,1026
228,Coursera,DataScience,Hyderabad,Doctorate,Yes,no,advanced,Yes,Yes,4,57,1,32,277,33,72,453
229,Great_Learn,DigitalMarketing,Bengaluru,Graduate,Yes,no,intermediate,No,Yes,19,192,5,145,760,146,215,1446
230,Udemy,FullstackDataScience,Bengaluru,Graduate,no,no,beginer,Yes,Yes,19,189,5,139,753,140,191,1385
231,ExcelR,CloudComputing,Hyderabad,UnderGraduate,Yes,no,intermediate,No,Yes,14,156,4,113,633,114,175,1134
232,Data_camp,CloudComputing,Bengaluru,Doctorate,no,Yes,advanced,No,Yes,11,115,3,80,503,81,133,867
233,Great_Learn,ArtificialIntelligence,Ahmedabad,UnderGraduate,no,no,beginer,No,Yes,2,51,1,24,246,25,63,414
234,Upgrad,Dataanalysis,Pune,Doctorate,no,no,intermediate,No,Yes,4,62,2,35,292,36,76,489
235,Udemy,DigitalMarketing,Calcutta,Graduate,no,no,intermediate,No,Yes,9,101,2,68,450,69,119,782
236,Guvi,DataScience,Ahmedabad,UnderGraduate,Yes,no,beginer,Yes,Yes,5,65,2,38,307,39,81,512
237,Coursera,DigitalTransformation,Hyderabad,UnderGraduate,no,Yes,beginer,Yes,Yes,15,160,4,117,647,118,180,1173
238,Edx,FullstackDataScience,Bengaluru,UnderGraduate,Yes,no,intermediate,No,Yes,13,140,3,100,580,101,159,1022
239,Edx,Dataanalysis,Kanpour,UnderGraduate,no,Yes,advanced,Yes,Yes,3,51,1,24,246,25,62,405
240,Edvancer,python,Chennai,UnderGraduate,Yes,no,advanced,No,Yes,16,171,4,125,685,126,191,1256
241,Edureka,FullstackDataScience,Ahmedabad,Doctorate,Yes,Yes,intermediate,No,Yes,16,171,4,125,685,126,191,1255
242,innomatics,Dataanalysis,Delhi,Graduate,Yes,no,beginer,Yes,Yes,13,141,3,101,586,102,160,1043
243,Simple_learn,BigData,Kanpour,UnderGraduate,Yes,Yes,advanced,No,Yes,12,124,3,88,531,89,143,928
244,Upgrad,DigitalMarketing,Chennai,Doctorate,Yes,Yes,advanced,Yes,Yes,13,135,3,96,565,97,154,1006
245,Udemy,python,Mumbai,UnderGraduate,Yes,no,beginer,No,Yes,3,57,1,32,277,33,72,453
246,Edx,BigData,Bengaluru,UnderGraduate,no,no,intermediate,Yes,Yes,18,187,5,139,747,142,210,1409
247,Data_camp,BigData,Pune,Doctorate,no,no,beginer,No,Yes,17,174,4,128,700,129,195,1289
248,Simple_learn,FullstackDataScience,Mumbai,Doctorate,Yes,Yes,intermediate,No,Yes,14,147,4,106,605,107,166,1083
249,Great_Learn,python,Bengaluru,UnderGraduate,Yes,no,intermediate,No,Yes,3,61,2,34,289,35,75,474
250,Coursera,Dataanalysis,Pune,UnderGraduate,no,no,advanced,Yes,Yes,18,184,4,136,738,137,207,1367
251,ExcelR,DigitalTransformation,Pune,UnderGraduate,no,no,beginer,No,Yes,16,172,4,126,692,127,193,1264
252,360DigiTMG,DataScience,Calcutta,Graduate,Yes,no,advanced,No,Yes,3,53,2,39,253,40,81,515
253,Coursera,DataScience,Ahmedabad,UnderGraduate,no,no,beginer,Yes,Yes,11,117,3,81,510,82,136,881
254,Simple_learn,DigitalMarketing,Chennai,Doctorate,no,Yes,advanced,No,Yes,18,181,4,134,727,135,203,1346
255,Great_Learn,DigitalMarketing,Chennai,Graduate,no,no,intermediate,No,Yes,8,88,2,58,396,59,105,674
256,Datatrain,DigitalMarketing,Bengaluru,Graduate,Yes,Yes,intermediate,Yes,Yes,15,161,4,116,647,118,180,1164
257,Edvancer,Dataanalysis,Ahmedabad,Doctorate,no,no,beginer,No,Yes,15,161,4,116,648,118,180,1167
258,Simple_learn,FullstackDataScience,Pune,Graduate,Yes,no,beginer,Yes,Yes,10,107,3,73,471,74,126,811
259,Edx,CloudComputing,Bengaluru,UnderGraduate,no,Yes,beginer,No,Yes,16,167,4,122,671,123,187,1225
260,innomatics,DigitalTransformation,Ahmedabad,Graduate,Yes,no,beginer,No,Yes,13,141,3,101,586,102,160,1043
261,innomatics,BigData,Calcutta,UnderGraduate,no,Yes,intermediate,Yes,Yes,4,61,1,34,290,35,79,475
262,Simple_learn,FullstackDataScience,Ahmedabad,Graduate,no,no,beginer,Yes,Yes,18,182,4,133,712,135,205,1356
263,Data_camp,Dataanalysis,Kanpour,Doctorate,Yes,Yes,intermediate,Yes,Yes,15,165,4,119,663,121,185,1208
264,Data_camp,FullstackDataScience,Chennai,UnderGraduate,Yes,Yes,advanced,Yes,Yes,3,56,1,29,267,30,70,438
265,Simple_learn,python,Pune,Graduate,no,Yes,advanced,Yes,Yes,15,153,4,111,624,112,172,1124
266,Udemy,Dataanalysis,Hyderabad,Graduate,no,no,beginer,Yes,Yes,1,46,1,20,227,21,57,355
267,360DigiTMG,DataScience,Delhi,UnderGraduate,Yes,Yes,intermediate,No,Yes,3,58,1,31,278,32,72,452
268,Edx,python,Kanpour,Graduate,no,Yes,beginer,No,Yes,1,47,1,21,232,22,59,364
269,Simple_learn,Dataanalysis,Delhi,Doctorate,no,Yes,beginer,No,Yes,10,105,2,70,462,72,123,796
270,Guvi,python,Pune,UnderGraduate,no,no,beginer,Yes,Yes,6,75,2,47,347,48,92,585
271,ExcelR,DigitalTransformation,Ahmedabad,Graduate,no,no,intermediate,Yes,Yes,11,111,3,75,484,77,129,836
272,360DigiTMG,DataScience,Bengaluru,Graduate,no,Yes,beginer,No,Yes,6,78,2,51,356,52,95,602
273,innomatics,ArtificialIntelligence,Calcutta,Graduate,no,no,intermediate,No,Yes,11,114,3,79,498,80,133,863
274,Coursera,FullstackDataScience,Calcutta,UnderGraduate,Yes,no,intermediate,No,Yes,8,97,2,65,431,67,105,743
275,ExcelR,DigitalTransformation,Delhi,Doctorate,Yes,Yes,intermediate,No,Yes,1,42,1,16,209,17,52,320
276,360DigiTMG,CloudComputing,Bengaluru,UnderGraduate,Yes,Yes,intermediate,No,Yes,20,198,5,148,798,149,224,1495
277,Edx,CloudComputing,Calcutta,Graduate,no,Yes,advanced,No,Yes,15,160,4,115,645,117,179,1167
278,360DigiTMG,ProjectManagement,Mumbai,UnderGraduate,Yes,Yes,intermediate,No,Yes,14,147,4,105,603,106,166,1082
279,Data_camp,python,Mumbai,UnderGraduate,Yes,no,intermediate,No,Yes,10,96,2,63,429,65,114,735
280,innomatics,DataScience,Ahmedabad,Graduate,no,no,beginer,Yes,Yes,16,172,4,125,692,127,193,1271
281,360DigiTMG,BigData,Chennai,UnderGraduate,Yes,Yes,advanced,No,Yes,11,121,3,84,520,85,140,905
282,ExcelR,CloudComputing,Kanpour,UnderGraduate,Yes,Yes,advanced,No,Yes,8,90,2,58,404,60,107,690
283,ExcelR,Dataanalysis,Calcutta,UnderGraduate,no,no,intermediate,Yes,Yes,19,188,5,139,755,140,211,1405
284,Coursera,Dataanalysis,Delhi,Graduate,Yes,Yes,advanced,Yes,Yes,18,185,5,135,741,137,207,1378
285,Datatrain,DigitalTransformation,Bengaluru,UnderGraduate,no,Yes,advanced,Yes,Yes,6,74,2,45,341,47,90,574
286,Edx,BigData,Pune,Graduate,no,no,beginer,No,Yes,17,178,4,131,715,132,200,1322
287,Edvancer,ArtificialIntelligence,Hyderabad,Graduate,Yes,Yes,beginer,No,Yes,9,106,3,71,467,73,124,804
288,360DigiTMG,BigData,Chennai,UnderGraduate,Yes,no,beginer,Yes,Yes,17,175,4,128,703,129,196,1294
289,Great_Learn,ProjectManagement,Mumbai,Graduate,Yes,Yes,intermediate,No,Yes,8,98,2,65,437,67,112,749
290,Coursera,DataScience,Pune,Graduate,Yes,Yes,advanced,Yes,Yes,9,101,2,68,448,69,119,769
291,Upgrad,ArtificialIntelligence,Bengaluru,Doctorate,Yes,no,beginer,No,Yes,6,72,2,44,335,45,88,563
292,Coursera,CloudComputing,Delhi,Doctorate,Yes,no,intermediate,No,Yes,17,178,4,131,715,132,200,1322
293,ExcelR,ArtificialIntelligence,Bengaluru,Graduate,Yes,Yes,advanced,No,Yes,14,145,4,104,599,105,164,1073
294,Edvancer,python,Chennai,Doctorate,Yes,Yes,intermediate,No,Yes,2,49,1,22,238,23,61,376
295,Data_camp,DataScience,Hyderabad,Doctorate,no,no,beginer,No,Yes,1,44,1,18,220,19,55,339
296,Great_Learn,ProjectManagement,Mumbai,Doctorate,Yes,Yes,advanced,Yes,Yes,4,64,2,35,300,37,78,495
297,Simple_learn,BigData,Bengaluru,Doctorate,Yes,Yes,advanced,No,Yes,18,186,5,138,747,139,209,1390
298,Datatrain,DigitalTransformation,Chennai,Doctorate,Yes,Yes,intermediate,Yes,Yes,13,139,3,98,579,100,158,1028
299,Edvancer,ArtificialIntelligence,Chennai,UnderGraduate,no,Yes,intermediate,Yes,Yes,16,171,4,125,689,126,192,1264
300,Edureka,DigitalMarketing,Chennai,Graduate,no,no,intermediate,Yes,Yes,16,174,4,127,700,129,195,1287
301,Great_Learn,ArtificialIntelligence,Delhi,Graduate,no,no,advanced,No,Yes,17,182,5,134,730,135,204,1353
302,innomatics,CloudComputing,Kanpour,Graduate,no,Yes,advanced,No,Yes,1,45,1,19,221,20,56,342
303,Upgrad,ProjectManagement,Calcutta,Graduate,no,Yes,advanced,Yes,Yes,8,97,2,65,434,66,115,745
304,Udemy,FullstackDataScience,Chennai,Doctorate,Yes,Yes,intermediate,Yes,Yes,17,176,4,120,709,121,198,1307
305,Guvi,ProjectManagement,Pune,Graduate,no,no,advanced,Yes,Yes,3,55,1,27,263,29,68,424
306,Simple_learn,BigData,Bengaluru,UnderGraduate,no,no,intermediate,No,Yes,1,42,1,16,205,17,51,311
307,360DigiTMG,DigitalMarketing,Hyderabad,UnderGraduate,no,no,intermediate,No,Yes,6,83,2,54,377,55,100,641
308,Coursera,ArtificialIntelligence,Chennai,Graduate,Yes,Yes,intermediate,Yes,Yes,7,92,2,61,415,62,110,710
309,Simple_learn,CloudComputing,Bengaluru,Graduate,no,Yes,advanced,Yes,Yes,19,189,4,129,754,131,212,1379
310,ExcelR,python,Ahmedabad,Doctorate,Yes,no,intermediate,No,Yes,18,187,4,128,752,130,211,1370
311,Udemy,FullstackDataScience,Bengaluru,UnderGraduate,Yes,Yes,intermediate,Yes,Yes,3,55,1,28,264,29,68,425
312,Great_Learn,Dataanalysis,Pune,UnderGraduate,Yes,Yes,advanced,No,Yes,4,61,1,33,289,35,75,473
313,Upgrad,ProjectManagement,Bengaluru,Doctorate,Yes,no,intermediate,No,Yes,15,156,4,112,769,114,175,1143
314,Udemy,python,Hyderabad,Doctorate,Yes,no,intermediate,Yes,Yes,15,163,4,118,650,119,182,1197
315,Udemy,BigData,Kanpour,Doctorate,no,no,beginer,Yes,Yes,12,127,3,90,542,91,146,952
316,ExcelR,DataScience,Hyderabad,Graduate,Yes,no,beginer,No,Yes,7,90,2,59,407,61,108,695
317,innomatics,FullstackDataScience,Mumbai,UnderGraduate,no,no,advanced,Yes,Yes,3,54,1,27,258,28,66,413
318,Udemy,DigitalMarketing,Calcutta,Doctorate,Yes,Yes,beginer,No,Yes,8,92,4,60,412,62,109,704
319,Datatrain,DigitalMarketing,Chennai,UnderGraduate,no,no,advanced,No,Yes,19,191,5,141,767,143,215,1433
320,Udemy,DigitalMarketing,Hyderabad,Graduate,no,no,beginer,Yes,Yes,12,130,3,92,550,93,149,969
321,Edvancer,ProjectManagement,Chennai,Graduate,Yes,no,intermediate,Yes,Yes,11,115,3,80,503,81,134,870
322,innomatics,python,Bengaluru,UnderGraduate,no,Yes,beginer,Yes,Yes,11,114,3,79,502,80,133,860
323,Edureka,python,Bengaluru,Doctorate,no,no,beginer,No,Yes,19,191,5,141,764,142,214,1427
324,Edureka,Dataanalysis,Ahmedabad,Doctorate,Yes,no,advanced,No,Yes,8,93,2,62,418,63,111,714
325,Simple_learn,BigData,Hyderabad,Graduate,Yes,no,intermediate,No,Yes,17,182,4,133,729,135,204,1352
326,Datatrain,DigitalTransformation,Ahmedabad,Graduate,Yes,Yes,beginer,Yes,Yes,13,134,3,95,564,96,153,997
327,Coursera,BigData,Hyderabad,Doctorate,no,no,beginer,No,Yes,11,114,3,78,496,80,133,859
328,Guvi,python,Hyderabad,Doctorate,no,Yes,advanced,Yes,Yes,13,133,3,94,558,95,152,987
329,Simple_learn,FullstackDataScience,Bengaluru,Doctorate,Yes,Yes,advanced,Yes,Yes,13,129,3,91,547,92,148,962
330,Upgrad,BigData,Pune,Doctorate,no,no,beginer,No,Yes,13,127,3,88,539,90,146,946
331,Datatrain,BigData,Bengaluru,Graduate,no,Yes,beginer,No,Yes,17,173,4,127,697,128,194,1282
332,Upgrad,ProjectManagement,Hyderabad,Doctorate,Yes,no,intermediate,Yes,Yes,17,178,4,131,715,132,200,1321
333,Upgrad,DataScience,Mumbai,UnderGraduate,Yes,Yes,intermediate,No,Yes,5,67,2,39,313,40,82,551
334,Upgrad,FullstackDataScience,Chennai,Graduate,Yes,no,intermediate,Yes,Yes,19,193,5,142,775,144,217,1448
335,Datatrain,ArtificialIntelligence,Ahmedabad,Graduate,no,Yes,beginer,Yes,Yes,16,167,4,122,674,123,188,1233
336,Great_Learn,DataScience,Hyderabad,UnderGraduate,Yes,no,intermediate,No,Yes,13,145,4,107,612,108,168,1098
337,ExcelR,python,Calcutta,Graduate,no,Yes,advanced,No,Yes,12,142,3,101,588,102,161,1050
338,Edvancer,ArtificialIntelligence,Hyderabad,Doctorate,no,Yes,beginer,No,Yes,15,169,4,123,679,124,189,1243
339,Coursera,CloudComputing,Ahmedabad,UnderGraduate,Yes,Yes,beginer,Yes,Yes,12,124,3,87,532,88,143,923
340,innomatics,BigData,Calcutta,Doctorate,Yes,Yes,intermediate,No,Yes,6,82,2,53,372,54,99,631
341,Guvi,python,Mumbai,Graduate,Yes,no,advanced,No,Yes,17,177,4,131,712,131,199,1316
342,Upgrad,ProjectManagement,Mumbai,Doctorate,Yes,Yes,beginer,No,Yes,6,82,2,52,372,54,99,631
343,Data_camp,ArtificialIntelligence,Pune,UnderGraduate,no,Yes,beginer,No,Yes,6,83,2,54,379,55,100,643
344,Great_Learn,DigitalTransformation,Delhi,Doctorate,no,Yes,beginer,No,Yes,9,106,3,72,467,73,124,806
345,Great_Learn,Dataanalysis,Chennai,Doctorate,no,Yes,advanced,Yes,Yes,13,133,3,94,558,95,152,986
346,Upgrad,DigitalTransformation,Calcutta,Graduate,no,Yes,beginer,Yes,Yes,19,190,5,141,761,142,213,1419
347,ExcelR,DigitalTransformation,Bengaluru,Doctorate,Yes,Yes,beginer,No,Yes,13,143,3,102,591,103,162,1055
348,innomatics,ProjectManagement,Hyderabad,Doctorate,Yes,no,advanced,No,Yes,6,78,2,50,360,51,95,610
349,Edvancer,ProjectManagement,Chennai,Graduate,Yes,Yes,intermediate,Yes,Yes,13,140,3,100,581,101,159,1034
350,Simple_learn,python,Mumbai,Graduate,Yes,Yes,intermediate,Yes,Yes,6,77,2,49,354,50,94,598
351,Simple_learn,ProjectManagement,Delhi,Doctorate,Yes,no,intermediate,Yes,Yes,12,127,3,89,539,90,146,945
352,Upgrad,CloudComputing,Mumbai,Graduate,Yes,no,intermediate,No,Yes,20,199,5,148,799,149,224,1495
353,Datatrain,DataScience,Hyderabad,Doctorate,Yes,no,beginer,No,Yes,3,59,1,32,280,33,72,456
354,innomatics,DataScience,Bengaluru,Doctorate,Yes,Yes,beginer,Yes,Yes,11,111,3,76,485,77,130,840
355,Great_Learn,DigitalTransformation,Hyderabad,Doctorate,Yes,Yes,intermediate,Yes,Yes,20,199,5,149,799,149,224,1496
356,ExcelR,Dataanalysis,Kanpour,Graduate,Yes,no,intermediate,No,Yes,11,113,3,78,495,79,132,857
357,innomatics,CloudComputing,Pune,UnderGraduate,Yes,Yes,beginer,No,Yes,5,72,2,44,335,45,88,561
358,Datatrain,DataScience,Chennai,UnderGraduate,Yes,no,beginer,No,Yes,2,50,1,24,244,25,62,388
359,Great_Learn,python,Calcutta,Doctorate,Yes,no,intermediate,No,Yes,13,142,3,101,588,102,161,1049
360,Upgrad,BigData,Calcutta,Doctorate,Yes,Yes,advanced,No,Yes,13,136,3,97,570,98,155,1011
361,ExcelR,DigitalTransformation,Calcutta,UnderGraduate,no,no,advanced,No,Yes,13,140,3,100,581,101,159,1036
362,Edureka,ArtificialIntelligence,Bengaluru,UnderGraduate,Yes,no,intermediate,No,Yes,19,187,4,137,750,139,210,1396
363,Edureka,FullstackDataScience,Chennai,Graduate,no,no,beginer,No,Yes,8,94,2,62,419,63,112,718
364,Edvancer,FullstackDataScience,Bengaluru,UnderGraduate,Yes,Yes,advanced,No,Yes,9,99,2,67,440,68,117,755
365,Edureka,ProjectManagement,Hyderabad,Doctorate,Yes,no,beginer,Yes,Yes,10,108,3,74,474,75,127,818
366,360DigiTMG,Dataanalysis,Ahmedabad,Doctorate,Yes,Yes,intermediate,No,Yes,15,158,4,114,639,115,177,1156
367,Datatrain,ProjectManagement,Mumbai,UnderGraduate,Yes,Yes,intermediate,No,Yes,8,92,2,61,413,62,110,706
368,Great_Learn,python,Delhi,Graduate,Yes,no,intermediate,Yes,Yes,10,110,3,75,481,76,128,832
369,Guvi,ArtificialIntelligence,Chennai,Graduate,Yes,no,beginer,No,Yes,9,97,2,65,432,66,115,740
370,Edx,ArtificialIntelligence,Mumbai,Graduate,Yes,Yes,advanced,Yes,Yes,1,43,1,17,208,18,54,331
371,Coursera,ProjectManagement,Pune,Doctorate,Yes,Yes,beginer,Yes,Yes,19,186,5,136,746,138,209,1386
372,Udemy,python,Pune,Graduate,no,Yes,beginer,No,Yes,7,85,2,55,386,56,103,657
373,Udemy,FullstackDataScience,Pune,UnderGraduate,no,no,advanced,Yes,Yes,3,57,1,30,270,31,70,437
374,Udemy,Dataanalysis,Ahmedabad,Graduate,no,Yes,advanced,No,Yes,7,87,2,57,393,58,104,670
375,Data_camp,CloudComputing,Mumbai,UnderGraduate,Yes,no,beginer,No,Yes,13,129,3,91,547,92,148,963
376,Coursera,DigitalTransformation,Kanpour,Doctorate,Yes,Yes,advanced,Yes,Yes,13,131,3,92,549,93,149,967
377,Simple_learn,DigitalMarketing,Mumbai,Doctorate,Yes,no,beginer,No,Yes,2,49,1,23,241,24,61,383
378,Edx,BigData,Chennai,Doctorate,no,Yes,advanced,No,Yes,4,61,1,34,289,35,75,474
379,Edvancer,BigData,Bengaluru,UnderGraduate,Yes,Yes,intermediate,Yes,Yes,12,128,3,90,543,91,147,953
380,Edureka,DataScience,Hyderabad,Doctorate,no,no,intermediate,Yes,Yes,2,49,1,22,238,23,61,376
381,ExcelR,Dataanalysis,Pune,Graduate,Yes,Yes,advanced,No,Yes,11,121,3,84,519,85,139,897
382,Guvi,CloudComputing,Bengaluru,Doctorate,no,no,intermediate,Yes,Yes,18,178,4,131,705,132,199,1318
383,Data_camp,DigitalTransformation,Chennai,Graduate,Yes,Yes,intermediate,No,Yes,13,136,3,97,571,98,155,1012
384,Great_Learn,DigitalMarketing,Kanpour,UnderGraduate,no,no,intermediate,Yes,Yes,17,173,4,126,697,128,194,1281
385,Coursera,FullstackDataScience,Hyderabad,Graduate,no,Yes,beginer,Yes,Yes,13,135,3,95,565,97,154,999
386,Data_camp,Dataanalysis,Bengaluru,UnderGraduate,no,Yes,beginer,No,Yes,14,154,3,78,492,79,131,852
387,Edureka,CloudComputing,Hyderabad,Graduate,Yes,no,advanced,Yes,Yes,16,169,4,124,680,125,189,1246
388,Edvancer,CloudComputing,Mumbai,Doctorate,Yes,no,beginer,Yes,Yes,19,192,5,144,787,145,221,1475
389,Data_camp,Dataanalysis,Delhi,Doctorate,no,no,intermediate,Yes,Yes,7,83,2,54,377,55,100,640
390,Coursera,python,Chennai,UnderGraduate,Yes,Yes,beginer,Yes,Yes,2,51,1,24,246,25,63,389
391,Edx,ArtificialIntelligence,Hyderabad,Graduate,no,Yes,beginer,No,Yes,16,167,4,122,671,123,187,1225
392,ExcelR,DataScience,Kanpour,UnderGraduate,no,no,advanced,No,Yes,12,124,3,87,531,88,143,928
393,innomatics,ArtificialIntelligence,Chennai,Graduate,no,no,beginer,No,Yes,10,110,3,75,481,76,128,831
394,Great_Learn,BigData,Ahmedabad,Graduate,Yes,no,beginer,No,Yes,17,178,4,131,714,132,199,1317
395,ExcelR,ProjectManagement,Chennai,Graduate,no,Yes,intermediate,No,Yes,3,57,1,30,270,31,70,439
396,Data_camp,python,Mumbai,Graduate,Yes,Yes,intermediate,No,Yes,3,54,1,27,258,28,66,413
397,Coursera,python,Kanpour,Doctorate,no,Yes,beginer,No,Yes,15,166,4,121,666,122,185,1215
398,Great_Learn,ProjectManagement,Bengaluru,Graduate,Yes,no,intermediate,Yes,Yes,11,115,3,80,475,81,132,853
399,Edx,FullstackDataScience,Ahmedabad,Graduate,no,Yes,intermediate,No,Yes,2,51,1,24,246,25,63,384
400,Edx,Dataanalysis,Pune,UnderGraduate,no,Yes,advanced,Yes,Yes,2,48,1,17,231,18,59,363
401,innomatics,ProjectManagement,Hyderabad,Doctorate,no,no,advanced,Yes,Yes,16,172,4,126,692,127,193,1272
402,Upgrad,FullstackDataScience,Delhi,Graduate,no,no,beginer,No,Yes,13,143,3,103,592,104,161,1057
403,Simple_learn,python,Bengaluru,Graduate,Yes,Yes,beginer,No,Yes,12,125,3,88,525,89,144,936
404,Datatrain,DigitalMarketing,Kanpour,UnderGraduate,Yes,no,intermediate,Yes,Yes,17,176,4,131,720,133,201,1329
405,Guvi,CloudComputing,Chennai,Graduate,no,no,beginer,Yes,Yes,13,139,3,99,579,100,158,1030
406,Coursera,CloudComputing,Bengaluru,Graduate,Yes,Yes,beginer,Yes,Yes,3,57,1,30,273,31,71,444
407,Edvancer,ArtificialIntelligence,Pune,Graduate,no,Yes,advanced,No,Yes,5,65,2,38,306,39,80,506
408,Upgrad,DigitalMarketing,Ahmedabad,UnderGraduate,Yes,no,intermediate,No,Yes,6,74,2,46,341,47,90,574
409,Edureka,Dataanalysis,Bengaluru,Graduate,no,no,beginer,Yes,Yes,10,109,3,75,478,76,127,826
410,Data_camp,python,Mumbai,Graduate,Yes,Yes,beginer,Yes,Yes,5,67,2,40,315,41,83,524
411,Edx,ArtificialIntelligence,Bengaluru,Graduate,Yes,no,beginer,No,Yes,19,194,5,143,779,145,219,1458
412,Edx,BigData,Chennai,UnderGraduate,no,no,advanced,Yes,Yes,20,196,5,145,787,147,221,1474
413,Great_Learn,ProjectManagement,Hyderabad,Doctorate,Yes,Yes,beginer,Yes,Yes,18,175,4,128,692,129,151,979
414,Simple_learn,DataScience,Delhi,Doctorate,no,Yes,beginer,Yes,Yes,6,79,2,51,363,52,96,616
415,Simple_learn,ArtificialIntelligence,Hyderabad,UnderGraduate,no,no,beginer,Yes,Yes,16,169,4,123,680,125,189,1247
416,Guvi,ProjectManagement,Mumbai,Graduate,no,no,beginer,Yes,Yes,7,84,2,55,382,56,68,649
417,Edvancer,ProjectManagement,Ahmedabad,Doctorate,no,Yes,intermediate,No,Yes,5,62,1,30,406,31,65,401
418,Upgrad,ProjectManagement,Bengaluru,Graduate,no,Yes,advanced,No,Yes,5,61,1,34,290,35,75,475
419,ExcelR,DigitalMarketing,Calcutta,Graduate,no,Yes,beginer,Yes,Yes,13,142,3,101,724,102,161,1049
420,Udemy,ProjectManagement,Kanpour,Doctorate,no,Yes,beginer,Yes,Yes,19,192,4,141,770,143,216,1440
421,Edureka,CloudComputing,Kanpour,Graduate,Yes,no,beginer,Yes,Yes,14,152,4,110,620,111,181,1114
422,Edx,DataScience,Chennai,UnderGraduate,Yes,Yes,intermediate,No,Yes,11,120,3,84,524,85,140,908
423,innomatics,DataScience,Pune,Graduate,no,Yes,intermediate,No,Yes,17,174,4,128,700,129,195,1287
424,innomatics,ProjectManagement,Pune,UnderGraduate,Yes,Yes,intermediate,No,Yes,2,50,1,24,244,25,62,388
425,Edx,DigitalTransformation,Delhi,UnderGraduate,Yes,no,advanced,Yes,Yes,8,94,2,63,421,64,112,722
426,ExcelR,DataScience,Delhi,Graduate,Yes,Yes,beginer,No,Yes,5,67,2,38,312,40,82,517
427,Simple_learn,ProjectManagement,Pune,Graduate,Yes,Yes,intermediate,Yes,Yes,17,176,4,129,708,130,198,1303
428,Edureka,Dataanalysis,Hyderabad,UnderGraduate,Yes,no,advanced,Yes,Yes,7,88,2,58,397,59,106,679
429,Simple_learn,python,Bengaluru,Doctorate,no,Yes,advanced,No,Yes,20,196,5,148,796,149,224,1495
430,Data_camp,DigitalTransformation,Calcutta,Graduate,Yes,Yes,beginer,No,Yes,19,193,5,143,775,144,217,1443
431,innomatics,ProjectManagement,Calcutta,Graduate,Yes,no,advanced,Yes,Yes,8,92,2,61,412,62,109,705
432,Data_camp,Dataanalysis,Calcutta,Doctorate,Yes,no,advanced,Yes,Yes,11,114,3,78,493,79,132,853
433,Edvancer,BigData,Ahmedabad,Graduate,no,no,beginer,Yes,Yes,12,126,3,88,536,89,145,940
434,Edvancer,Dataanalysis,Kanpour,Graduate,Yes,Yes,beginer,Yes,Yes,20,194,5,147,794,148,223,1494
435,Datatrain,DigitalMarketing,Calcutta,Graduate,no,no,beginer,Yes,Yes,13,134,3,95,564,96,153,998
436,Coursera,CloudComputing,Chennai,Doctorate,no,no,advanced,No,Yes,8,90,2,59,404,60,107,691
437,Upgrad,DigitalMarketing,Calcutta,Doctorate,Yes,no,intermediate,Yes,Yes,15,156,4,111,657,113,133,866
438,Upgrad,DataScience,Hyderabad,Graduate,no,no,intermediate,Yes,Yes,16,168,4,123,677,124,189,1238
439,Coursera,CloudComputing,Mumbai,UnderGraduate,Yes,no,intermediate,Yes,Yes,1,44,1,18,220,19,55,340
440,Coursera,ProjectManagement,Ahmedabad,Doctorate,Yes,no,intermediate,No,Yes,18,179,4,132,720,133,201,1330
441,ExcelR,DigitalTransformation,Ahmedabad,Doctorate,Yes,Yes,advanced,Yes,Yes,18,185,4,137,743,138,208,1380
442,Simple_learn,ProjectManagement,Ahmedabad,Doctorate,Yes,no,advanced,Yes,Yes,8,93,2,62,416,63,111,712
443,Coursera,DigitalMarketing,Kanpour,UnderGraduate,Yes,Yes,advanced,No,Yes,10,109,3,75,479,76,128,828
444,360DigiTMG,DigitalMarketing,Hyderabad,Doctorate,Yes,Yes,advanced,No,Yes,13,129,3,91,547,92,148,962
445,Simple_learn,python,Bengaluru,Graduate,Yes,no,intermediate,No,Yes,1,41,1,15,207,16,52,307
446,360DigiTMG,Dataanalysis,Kanpour,Graduate,no,Yes,advanced,Yes,Yes,11,118,3,84,511,83,137,886
447,Great_Learn,CloudComputing,Chennai,Graduate,Yes,Yes,beginer,No,Yes,6,76,2,48,351,49,93,589
448,innomatics,FullstackDataScience,Kanpour,UnderGraduate,no,no,intermediate,No,Yes,14,151,3,109,616,110,170,1110
449,innomatics,DigitalTransformation,Kanpour,Doctorate,no,no,advanced,Yes,Yes,10,111,3,76,485,77,130,840
450,Coursera,ArtificialIntelligence,Mumbai,Doctorate,no,Yes,beginer,No,Yes,2,51,1,25,249,26,64,396
451,360DigiTMG,ProjectManagement,Delhi,Doctorate,no,Yes,intermediate,No,Yes,14,152,3,109,621,111,171,1117
452,Simple_learn,ArtificialIntelligence,Ahmedabad,Doctorate,no,Yes,beginer,No,Yes,19,189,5,140,758,141,219,1414
